CO_ESCOLA,NO_ESCOLA,NU_ANO,NU_NOTA
25073575,EMEF AMARO DA COSTA BARROS,2009,2.8
25073575,EMEF AMARO DA COSTA BARROS,2011,3.5
25073575,EMEF AMARO DA COSTA BARROS,2013,3.7
25073575,EMEF AMARO DA COSTA BARROS,2015,3.2
25073605,EMEF ANTONIO GUEDES DE ANDRADE,2005,1.7
25073613,ESCOLA MUNICIPAL DR JOSE TAVARES,2005,3.3
25073613,ESCOLA MUNICIPAL DR JOSE TAVARES,2007,3.4
25073613,ESCOLA MUNICIPAL DR JOSE TAVARES,2009,4.3
25073613,ESCOLA MUNICIPAL DR JOSE TAVARES,2011,4.4
25073613,ESCOLA MUNICIPAL DR JOSE TAVARES,2013,4
25073613,ESCOLA MUNICIPAL DR JOSE TAVARES,2015,4.7
25073613,ESCOLA MUNICIPAL DR JOSE TAVARES,2017,5.7
25073630,EMEF FERNANDO CUNHA LIMA,2007,3.3
25073630,EMEF FERNANDO CUNHA LIMA,2011,3.9
25073630,EMEF FERNANDO CUNHA LIMA,2013,3.2
25073630,EMEF FERNANDO CUNHA LIMA,2015,3.7
25073630,EMEF FERNANDO CUNHA LIMA,2017,4.2
25073648,EMEF FREI DAGOBERTO STUCKER,2005,2.9
25073648,EMEF FREI DAGOBERTO STUCKER,2007,2.2
25073648,EMEF FREI DAGOBERTO STUCKER,2009,2.9
25073656,EMEF GERIVALDO LUNA DE OLIVEIRA,2007,3.6
25073656,EMEF GERIVALDO LUNA DE OLIVEIRA,2009,3.2
25073656,EMEF GERIVALDO LUNA DE OLIVEIRA,2011,3.3
25073656,EMEF GERIVALDO LUNA DE OLIVEIRA,2013,3.7
25073656,EMEF GERIVALDO LUNA DE OLIVEIRA,2015,3.8
25073656,EMEF GERIVALDO LUNA DE OLIVEIRA,2017,2.9
25073664,EMEF JOSE GUILHERMINO BARBOSA,2005,2.9
25073664,EMEF JOSE GUILHERMINO BARBOSA,2007,3.2
25073664,EMEF JOSE GUILHERMINO BARBOSA,2009,4.1
25073664,EMEF JOSE GUILHERMINO BARBOSA,2011,3.5
25073664,EMEF JOSE GUILHERMINO BARBOSA,2013,4.2
25073664,EMEF JOSE GUILHERMINO BARBOSA,2015,5.3
25073664,EMEF JOSE GUILHERMINO BARBOSA,2017,5.3
25073672,EMEF JOANA DE ANGELIS,2005,3.5
25073699,EMEF LAFAYETE CAVALCANTE,2005,3.2
25073699,EMEF LAFAYETE CAVALCANTE,2007,2.9
25073699,EMEF LAFAYETE CAVALCANTE,2009,3.8
25073699,EMEF LAFAYETE CAVALCANTE,2011,4.4
25073699,EMEF LAFAYETE CAVALCANTE,2013,3.7
25073699,EMEF LAFAYETE CAVALCANTE,2015,4.3
25073699,EMEF LAFAYETE CAVALCANTE,2017,4.9
25073710,EMEF LUCIA DE FATIMA GAYOSO MEIRA,2005,3.6
25073710,EMEF LUCIA DE FATIMA GAYOSO MEIRA,2007,3.6
25073710,EMEF LUCIA DE FATIMA GAYOSO MEIRA,2009,4.6
25073710,EMEF LUCIA DE FATIMA GAYOSO MEIRA,2011,5.3
25073710,EMEF LUCIA DE FATIMA GAYOSO MEIRA,2013,4.1
25073710,EMEF LUCIA DE FATIMA GAYOSO MEIRA,2015,4.9
25073710,EMEF LUCIA DE FATIMA GAYOSO MEIRA,2017,6
25073729,EMEF LUIZ CAMBEBA,2007,3.9
25073729,EMEF LUIZ CAMBEBA,2009,3.8
25073729,EMEF LUIZ CAMBEBA,2011,4.3
25073729,EMEF LUIZ CAMBEBA,2013,3.9
25073729,EMEF LUIZ CAMBEBA,2015,4.6
25073729,EMEF LUIZ CAMBEBA,2017,5
25073737,EMEF LUIZ JOAQUIM AVELINO,2005,2.7
25073737,EMEF LUIZ JOAQUIM AVELINO,2007,2.9
25073737,EMEF LUIZ JOAQUIM AVELINO,2009,3.5
25073737,EMEF LUIZ JOAQUIM AVELINO,2011,3.7
25073737,EMEF LUIZ JOAQUIM AVELINO,2013,3.4
25073737,EMEF LUIZ JOAQUIM AVELINO,2015,4
25073745,EMEF MANOEL DA COSTA CIRNE,2005,2.2
25073745,EMEF MANOEL DA COSTA CIRNE,2007,2.4
25073745,EMEF MANOEL DA COSTA CIRNE,2009,2.9
25073745,EMEF MANOEL DA COSTA CIRNE,2011,3.1
25073745,EMEF MANOEL DA COSTA CIRNE,2013,3.6
25073745,EMEF MANOEL DA COSTA CIRNE,2015,3.4
25073745,EMEF MANOEL DA COSTA CIRNE,2017,4.6
