NU_ANO,CO_UF_ESCOLA,SG_UF_ESCOLA,CO_MUNICIPIO_ESCOLA,NO_MUNICIPIO_ESCOLA,CO_ESCOLA,NO_ESCOLA,TP_DEPENDENCIA_ADM_ESCOLA,TP_LOCALIZACAO_ESCOLA,NU_MATRICULAS,NU_PARTICIPANTES_NEC_ESP,NU_PARTICIPANTES,NU_TAXA_PARTICIPACAO,NU_MEDIA_CN,NU_MEDIA_CH,NU_MEDIA_LP,NU_MEDIA_MT,NU_MEDIA_RED,NU_MEDIA_OBJ,NU_MEDIA_TOT,INSE,PC_FORMACAO_DOCENTE,NU_TAXA_PERMANENCIA,NU_TAXA_APROVACAO,NU_TAXA_REPROVACAO,NU_TAXA_ABANDONO,PORTE_ESCOLA
2009,25,PB,2504009,Campina Grande,25071882,ESCOLA SANTO ONOFRE,4,1,25,,13,52.0,504.77,491.02,499.38,473.68,663.46,,,,,,91.8,6.8,1.4,De 1 a 30 alunos
2010,25,PB,2504009,Campina Grande,25071882,ESCOLA SANTO ONOFRE,4,1,44,,38,86.4,544.3,491.47,544.36,515.06,597.22,,,,,,96.1,3.9,0.0,De 31 a 60 alunos
2013,25,PB,2504009,Campina Grande,25071882,ESCOLA SANTO ONOFRE,4,1,43,0.0,41,95.35,539.21,473.88,512.48,523.02,568.29,,,,40.3,,90.1,9.4,0.5,De 31 a 60 alunos
2014,25,PB,2504009,Campina Grande,25071882,ESCOLA SANTO ONOFRE,4,1,47,0.0,45,95.74,575.95,523.7,548.67,515.48,644.89,,,,55.4,88.89,93.2,4.7,2.1,De 31 a 60 alunos
2015,25,PB,2504009,Campina Grande,25071882,ESCOLA SANTO ONOFRE,4,1,47,0.0,46,97.87,595.87,504.67,530.55,488.87,640.87,,,Grupo 3,67.7,80.43,96.0,4.0,0.0,De 31 a 60 alunos
2011,25,PB,2504009,Campina Grande,25071882,ESCOLA SANTO ONOFRE,4,1,29,,24,82.76,501.28,494.45,558.64,552.64,630.0,,,,,,93.3,6.7,0.0,De 1 a 30 alunos
2013,25,PB,2504009,Campina Grande,25072005,EEEFM ADEMAR VELOSO SILVEIRA,2,1,84,0.0,62,73.81,480.6,445.04,462.95,484.03,468.71,,,,80.6,,69.2,17.1,13.7,De 61 a 90 alunos
2009,25,PB,2504009,Campina Grande,25072005,EEEFM ADEMAR VELOSO SILVEIRA,2,1,105,,21,14.2,473.39,475.53,470.53,440.23,521.43,,,,,,52.8,22.6,24.6,Maior que 90 alunos
2010,25,PB,2504009,Campina Grande,25072005,EEEFM ADEMAR VELOSO SILVEIRA,2,1,114,,53,34.2,485.85,441.21,463.66,441.51,575.5,,,,,,58.7,10.8,30.5,Maior que 90 alunos
2011,25,PB,2504009,Campina Grande,25072005,EEEFM ADEMAR VELOSO SILVEIRA,2,1,97,,52,53.61,422.47,429.73,498.45,472.36,492.69,,,,,,60.2,16.6,23.2,Maior que 90 alunos
2012,25,PB,2504009,Campina Grande,25072005,EEEFM ADEMAR VELOSO SILVEIRA,2,1,77,,73,94.81,477.98,441.54,457.14,452.02,468.49,,,,,,67.0,16.7,16.3,De 61 a 90 alunos
2014,25,PB,2504009,Campina Grande,25072005,EEEFM ADEMAR VELOSO SILVEIRA,2,1,81,0.0,63,77.78,535.13,466.04,510.53,436.54,488.25,,,,69.2,58.73,69.5,16.6,13.9,De 61 a 90 alunos
2015,25,PB,2504009,Campina Grande,25072005,EEEFM ADEMAR VELOSO SILVEIRA,2,1,104,3.0,73,70.19,556.67,456.82,504.07,459.42,557.53,,,Grupo 3,69.1,61.64,63.5,10.7,25.8,Maior que 90 alunos
2012,25,PB,2504009,Campina Grande,25072013,ESCOLA ESTADUAL DE ENS FUND E MED PROF RAUL CORDULA,2,1,174,,163,93.68,500.54,450.11,471.31,460.39,486.99,,,,,,70.2,9.7,20.1,Maior que 90 alunos
2015,25,PB,2504009,Campina Grande,25072013,EEEFM PROF RAUL CORDULA,2,1,141,0.0,121,85.82,561.3,468.27,506.28,458.6,569.92,,,Grupo 3,87.7,63.64,74.8,11.9,13.3,Maior que 90 alunos
2010,25,PB,2504009,Campina Grande,25072013,ESCOLA ESTADUAL DE ENS FUND E MED PROF RAUL CORDULA,2,1,181,,115,45.8,520.88,466.95,502.68,482.54,606.36,,,,,,67.6,14.7,17.7,Maior que 90 alunos
2013,25,PB,2504009,Campina Grande,25072013,ESCOLA ESTADUAL DE ENS FUND E MED PROF RAUL CORDULA,2,1,168,0.0,128,76.19,513.67,459.64,486.53,490.81,558.13,,,,88.8,,66.6,13.4,20.0,Maior que 90 alunos
2014,25,PB,2504009,Campina Grande,25072013,ESCOLA ESTADUAL DE ENS FUND E MED PROF RAUL CORDULA,2,1,195,0.0,141,72.31,547.66,474.23,508.53,456.44,512.91,,,,86.2,65.96,68.5,13.6,17.9,Maior que 90 alunos
2009,25,PB,2504009,Campina Grande,25072013,ESCOLA ESTADUAL DE ENS FUND E MED PROF RAUL CORDULA,2,1,160,,57,22.4,481.91,494.48,504.95,487.38,590.63,,,,,,68.4,11.3,20.3,Maior que 90 alunos
2011,25,PB,2504009,Campina Grande,25072013,ESCOLA ESTADUAL DE ENS FUND E MED PROF RAUL CORDULA,2,1,188,,123,65.43,448.09,436.61,513.14,485.42,540.16,,,,,,69.1,13.3,17.6,Maior que 90 alunos
2009,25,PB,2504009,Campina Grande,25072021,EEEFM SEN ARGEMIRO DE FIGUEIREDO,2,1,107,,24,13.7,486.98,471.27,459.54,467.59,550.0,,,,,,54.1,25.1,20.8,Maior que 90 alunos
2014,25,PB,2504009,Campina Grande,25072021,EEEFM SEN ARGEMIRO DE FIGUEIREDO,2,1,71,2.0,60,84.51,556.58,474.33,518.48,461.41,580.0,,,,76.6,46.67,72.8,8.2,19.0,De 61 a 90 alunos
2010,25,PB,2504009,Campina Grande,25072021,EEEFM SEN ARGEMIRO DE FIGUEIREDO,2,1,78,,44,28.7,511.77,457.2,488.78,462.99,591.07,,,,,,63.9,13.6,22.5,De 61 a 90 alunos
2013,25,PB,2504009,Campina Grande,25072021,EEEFM SEN ARGEMIRO DE FIGUEIREDO,2,1,84,0.0,66,78.57,522.55,473.5,488.76,493.47,521.21,,,,76.5,,52.9,26.6,20.5,De 61 a 90 alunos
2012,25,PB,2504009,Campina Grande,25072021,EEEFM SEN ARGEMIRO DE FIGUEIREDO,2,1,78,,64,82.05,487.06,424.62,465.94,451.58,492.19,,,,,,48.3,28.1,23.6,De 61 a 90 alunos
2015,25,PB,2504009,Campina Grande,25072021,EEEFM SEN ARGEMIRO DE FIGUEIREDO,2,1,101,1.0,83,82.18,545.64,460.98,495.19,448.28,556.14,,,Grupo 3,52.6,48.19,70.6,12.9,16.5,Maior que 90 alunos
2015,25,PB,2504009,Campina Grande,25072030,EEEFM NENZINHA CUNHA LIMA,2,1,59,1.0,36,61.02,538.1,464.52,488.8,437.85,553.75,,,Grupo 2,92.7,75.0,74.9,8.1,17.0,De 31 a 60 alunos
2012,25,PB,2504009,Campina Grande,25072030,EEEFM NENZINHA CUNHA LIMA,2,1,100,,77,77.0,500.25,442.7,472.24,453.04,467.79,,,,,,72.0,13.0,15.0,Maior que 90 alunos
2010,25,PB,2504009,Campina Grande,25072030,EEEFM NENZINHA CUNHA LIMA,2,1,114,,53,30.2,487.66,440.38,470.22,446.7,579.33,,,,,,90.4,5.6,4.0,Maior que 90 alunos
2009,25,PB,2504009,Campina Grande,25072030,EEEFM NENZINHA CUNHA LIMA,2,1,86,,28,20.2,490.86,471.9,476.94,471.71,583.04,,,,,,72.9,12.6,14.5,De 61 a 90 alunos
2013,25,PB,2504009,Campina Grande,25072030,EEEFM NENZINHA CUNHA LIMA,2,1,72,0.0,48,66.67,476.89,429.95,457.95,460.83,475.0,,,,73.3,,69.4,10.7,19.9,De 61 a 90 alunos
2014,25,PB,2504009,Campina Grande,25072030,EEEFM NENZINHA CUNHA LIMA,2,1,76,0.0,44,57.89,518.33,461.86,491.55,444.51,438.18,,,,81.0,65.91,73.9,8.1,18.0,De 61 a 90 alunos
2010,25,PB,2504009,Campina Grande,25072099,ESCOLA ESTADUAL DE ENSINO FUNDAMENTAL E MEDIO ASSIS CHATEAUBRIAND,2,1,94,,20,21.3,477.16,445.62,463.44,447.64,564.71,,,,,,42.4,9.6,48.0,Maior que 90 alunos
2009,25,PB,2504009,Campina Grande,25072099,ESCOLA ESTADUAL DE ENSINO FUNDAMENTAL E MEDIO ASSIS CHATEAUBRIAND,2,1,130,,17,13.1,459.88,453.04,448.58,478.76,557.14,,,,,,49.5,6.4,44.1,Maior que 90 alunos
2015,25,PB,2504009,Campina Grande,25072099,EEEFM ASSIS CHATEAUBRIAND,2,1,73,1.0,51,69.86,552.1,462.68,496.41,435.02,506.67,,,Grupo 2,82.0,68.63,69.1,11.6,19.3,De 61 a 90 alunos
2014,25,PB,2504009,Campina Grande,25072099,E E E F M ASSIS CHATEABRIAND,2,1,77,1.0,45,58.44,499.17,456.24,480.13,419.95,424.44,,,,80.5,40.0,76.3,8.6,15.1,De 61 a 90 alunos
2011,25,PB,2504009,Campina Grande,25072102,EEEFM DEP ALVARO GAUDENCIO DE QUEIROZ,2,1,64,,39,60.94,486.54,456.6,521.53,495.47,533.33,,,,,,65.2,15.4,19.4,De 61 a 90 alunos
2010,25,PB,2504009,Campina Grande,25072102,EEEFM DEP ALVARO GAUDENCIO DE QUEIROZ,2,1,74,,70,68.6,527.45,482.33,514.74,506.45,608.96,,,,,,58.0,23.7,18.3,De 61 a 90 alunos
2009,25,PB,2504009,Campina Grande,25072102,EEEFM DEP ALVARO GAUDENCIO DE QUEIROZ,2,1,90,,50,39.0,478.84,485.12,490.71,473.86,605.0,,,,,,55.2,27.4,17.4,De 61 a 90 alunos
2015,25,PB,2504009,Campina Grande,25072102,EEEFM DEP ALVARO GAUDENCIO DE QUEIROZ,2,1,98,0.0,90,91.84,556.49,474.38,503.54,467.85,565.78,,,Grupo 3,85.2,44.44,67.5,23.4,9.1,Maior que 90 alunos
2012,25,PB,2504009,Campina Grande,25072102,EEEFM DEP ALVARO GAUDENCIO DE QUEIROZ,2,1,118,,110,93.22,510.98,449.98,479.19,472.66,506.73,,,,,,56.8,20.6,22.6,Maior que 90 alunos
2014,25,PB,2504009,Campina Grande,25072102,EEEFM DEP ALVARO GAUDENCIO DE QUEIROZ,2,1,86,1.0,69,80.23,561.03,489.24,516.17,457.52,505.8,,,,74.9,44.93,61.4,23.9,14.7,De 61 a 90 alunos
2013,25,PB,2504009,Campina Grande,25072102,EEEFM DEP ALVARO GAUDENCIO DE QUEIROZ,2,1,104,0.0,82,78.85,507.44,449.45,481.97,489.27,526.83,,,,78.5,,50.7,28.9,20.4,Maior que 90 alunos
2015,25,PB,2504009,Campina Grande,25072110,EEEFM FELIX ARAUJO,2,1,156,0.0,139,89.1,549.64,464.82,487.76,448.7,525.48,,,Grupo 3,87.9,72.66,80.7,9.5,9.8,Maior que 90 alunos
2010,25,PB,2504009,Campina Grande,25072110,EEEFM FELIX ARAUJO,2,1,119,,97,61.4,536.78,472.57,496.64,475.55,587.77,,,,,,73.5,12.5,14.0,Maior que 90 alunos
2013,25,PB,2504009,Campina Grande,25072110,EEEFM FELIX ARAUJO,2,1,113,0.0,89,78.76,500.12,459.35,485.68,495.29,553.93,,,,91.0,,74.6,19.3,6.1,Maior que 90 alunos
2011,25,PB,2504009,Campina Grande,25072110,EEEFM FELIX ARAUJO,2,1,154,,86,55.84,453.7,450.57,518.1,487.7,537.21,,,,,,67.5,17.3,15.2,Maior que 90 alunos
2009,25,PB,2504009,Campina Grande,25072110,EEEFM FELIX ARAUJO,2,1,180,,60,33.3,485.57,483.2,476.69,465.06,521.25,,,,,,52.9,15.5,31.6,Maior que 90 alunos
2014,25,PB,2504009,Campina Grande,25072110,EEEFM FELIX ARAUJO,2,1,128,0.0,109,85.16,538.48,473.86,508.82,458.17,500.37,,,,92.3,78.9,76.6,13.2,10.2,Maior que 90 alunos
2010,25,PB,2504009,Campina Grande,25072129,E E E F M SAO SEBASTIAO,2,1,717,,34,5.3,491.39,447.92,484.47,443.18,560.83,,,,,,68.5,18.0,13.5,Maior que 90 alunos
2009,25,PB,2504009,Campina Grande,25072129,E E E F M SAO SEBASTIAO,2,1,84,,28,20.9,440.36,449.28,448.23,445.5,513.89,,,,,,69.9,16.0,14.1,De 61 a 90 alunos
2012,25,PB,2504009,Campina Grande,25072129,E E E F M SAO SEBASTIAO,2,1,74,,47,63.51,480.48,431.69,449.46,452.87,448.09,,,,,,73.3,7.6,19.1,De 61 a 90 alunos
2015,25,PB,2504009,Campina Grande,25072129,EEEFM SAO SEBASTIAO,2,1,59,0.0,46,77.97,537.45,454.58,501.0,427.32,543.48,,,Grupo 3,96.6,73.91,86.5,3.7,9.8,De 31 a 60 alunos
2014,25,PB,2504009,Campina Grande,25072129,E E E F M SAO SEBASTIAO,2,1,69,0.0,53,76.81,528.04,474.86,500.23,426.67,486.04,,,,85.0,79.25,70.6,11.0,18.4,De 61 a 90 alunos
2013,25,PB,2504009,Campina Grande,25072129,E E E F M SAO SEBASTIAO,2,1,64,0.0,38,59.38,496.02,459.29,478.01,477.91,484.21,,,,85.2,,75.9,4.1,20.0,De 61 a 90 alunos
2010,25,PB,2504009,Campina Grande,25072137,EEEFM PROF ANESIO LEAO,2,1,68,,33,48.5,545.35,483.21,525.82,492.71,593.94,,,,,,61.5,14.9,23.6,De 61 a 90 alunos
2009,25,PB,2504009,Campina Grande,25072137,EEEFM PROF ANESIO LEAO,2,1,124,,24,19.4,472.88,480.88,489.68,448.8,543.75,,,,,,63.6,16.2,20.2,Maior que 90 alunos
2013,25,PB,2504009,Campina Grande,25072137,EEEFM PROF ANESIO LEAO,2,1,94,0.0,50,53.19,501.86,452.09,488.98,483.98,558.0,,,,70.3,,56.8,16.1,27.1,Maior que 90 alunos
2014,25,PB,2504009,Campina Grande,25072137,EEEFM PROF ANESIO LEAO,2,1,69,0.0,42,60.87,529.38,467.97,509.05,452.44,437.62,,,,77.0,71.43,73.5,13.1,13.4,De 61 a 90 alunos
2015,25,PB,2504009,Campina Grande,25072137,EEEFM PROF ANESIO LEAO,2,2,104,0.0,56,53.85,543.29,438.88,487.5,445.67,541.07,,,Grupo 3,40.5,91.07,74.0,9.0,17.0,Maior que 90 alunos
