CO_ESCOLA,NO_ESCOLA,NU_ANO,NU_NOTA
25072277,EEEF MONTE CARMELO CEPES CGI,2007,2.6
25072277,EEEF MONTE CARMELO CEPES CGI,2009,1.9
25072277,EEEF MONTE CARMELO CEPES CGI,2011,3.1
25072277,EEEF MONTE CARMELO CEPES CGI,2013,3
25072277,EEEF MONTE CARMELO CEPES CGI,2015,3.1
25072285,EEEF MURILO BRAGA,2005,2.9
25072285,EEEF MURILO BRAGA,2007,2.9
25072285,EEEF MURILO BRAGA,2009,2.9
25072285,EEEF MURILO BRAGA,2011,2.3
25072285,EEEF MURILO BRAGA,2013,2.5
25072285,EEEF MURILO BRAGA,2015,3.9
25072285,EEEF MURILO BRAGA,2017,3.1
25072293,EEEF NOSSA SENHORA APARECIDA,2007,1.8
25072293,EEEF NOSSA SENHORA APARECIDA,2009,2.4
25072293,EEEF NOSSA SENHORA APARECIDA,2011,2
25072293,EEEF NOSSA SENHORA APARECIDA,2015,2.4
25072307,EEEF SOLON DE LUCENA,2005,2.6
25072307,EEEF SOLON DE LUCENA,2007,3
25072307,EEEF SOLON DE LUCENA,2009,3.4
25072307,EEEF SOLON DE LUCENA,2011,3.3
25072307,EEEF SOLON DE LUCENA,2013,2.7
25072307,EEEF SOLON DE LUCENA,2015,3.2
25072307,EEEF SOLON DE LUCENA,2017,3.9
25072340,EEEF ALCEU DO AMOROSO LIMA,2005,2.3
25072340,EEEF ALCEU DO AMOROSO LIMA,2007,3.1
25072340,EEEF ALCEU DO AMOROSO LIMA,2009,2.7
25072340,EEEF ALCEU DO AMOROSO LIMA,2011,3.3
25072340,EEEF ALCEU DO AMOROSO LIMA,2013,3.5
25072340,EEEF ALCEU DO AMOROSO LIMA,2015,3.4
25072374,EEEF MA EMILIA O DE ALMEIDA,2005,3.1
25072374,EEEF MA EMILIA O DE ALMEIDA,2007,2.8
25072374,EEEF MA EMILIA O DE ALMEIDA,2009,2.7
25072374,EEEF MA EMILIA O DE ALMEIDA,2011,3.4
25072374,EEEF MA EMILIA O DE ALMEIDA,2013,3.4
25072374,EEEF MA EMILIA O DE ALMEIDA,2015,3.2
25072374,EEEF MA EMILIA O DE ALMEIDA,2017,3.2
25072404,EEEFM RUBENS DUTRA II,2009,2.7
25072404,EEEFM RUBENS DUTRA II,2011,3.1
