Cod_setor,Situacao_setor,Pessoas residentes,V002,V003,V004,V005,V006
250110420000008,8,254,63,10,8,173,0
250115305000001,1,1017,335,12,40,630,0
250115305000002,5,352,95,0,16,241,0
250115305000003,8,153,37,2,5,109,0
250115305000004,8,224,106,8,2,108,0
250115305000005,8,181,85,2,0,94,0
250120305000001,1,1089,450,26,0,613,0
250120305000002,1,570,208,19,0,343,0
250120305000003,1,1001,472,18,10,501,0
250120305000004,1,1134,503,88,0,543,0
250120305000005,8,441,128,7,0,306,0
250120305000006,8,22,4,0,0,18,0
250120305000007,8,326,104,4,0,218,0
250120305000008,8,1081,316,32,48,685,0
250120305000009,1,806,228,31,0,547,0
250130205000001,1,972,457,14,4,497,0
250130205000002,1,704,274,6,1,421,2
250130205000003,1,685,295,34,13,343,0
250130205000004,1,560,230,14,0,316,0
250130205000005,1,560,254,26,0,280,0
250130205000006,1,779,353,49,0,377,0
250130205000007,1,539,276,2,1,260,0
250130205000008,1,750,326,3,1,420,0
250130205000009,8,245,87,4,2,152,0
250130205000010,8,121,38,3,0,80,0
250130205000011,8,426,191,25,3,207,0
250130205000012,8,689,338,26,4,311,10
250130205000013,8,418,144,1,1,272,0
250130205000014,8,818,327,4,1,486,0
250130205000015,8,559,210,0,11,338,0
250130205000016,8,689,220,1,1,467,0
250130205000017,8,740,297,28,5,410,0
250130205000018,8,638,209,54,8,367,0
250130205000019,8,392,105,4,0,283,0
250130205000020,8,326,135,0,2,189,0
250130205000021,8,445,151,44,18,232,0
250130205000022,8,297,94,5,4,194,0
250130205000023,8,417,156,6,0,255,0
250130205000024,8,620,311,8,5,296,0
250130205000025,1,673,214,20,1,438,0
250130205000026,1,758,321,13,1,423,0
250130205000027,1,1036,377,11,0,648,0
250130205000028,5,198,64,5,0,127,2
250130220000001,1,730,171,17,1,541,0
250130220000002,8,637,289,23,8,317,0
250130220000003,8,550,209,53,4,284,0
250130220000004,8,8,X,X,X,X,X
250130220000005,8,318,X,X,X,X,X
250130220000006,1,785,261,33,6,485,0
250135105000001,1,853,344,98,1,410,0
250135105000002,1,766,297,24,2,440,3
250135105000003,8,230,92,0,0,137,1
250135105000004,8,446,82,1,2,361,0
250135105000005,1,823,203,0,1,619,0
250135105000006,1,404,136,56,0,212,0
250140105000001,1,458,129,27,2,71,229
250140105000002,1,728,184,49,8,112,375
250140105000003,1,554,180,26,1,200,147
250140105000004,1,902,273,13,0,322,294
250140105000005,1,450,97,8,0,86,259
250140105000006,7,195,7,3,0,6,179
250140105000007,7,884,12,1,0,12,859
250140105000008,7,730,77,3,0,35,615
250140105000009,7,527,26,0,0,8,493
250140105000010,7,204,1,0,0,1,202
250140105000011,7,204,9,0,0,1,194
250140105000012,7,176,9,3,0,5,159
250140105000013,7,150,14,0,0,2,134
250140105000014,7,1095,88,12,1,47,947
250140105000015,8,59,0,0,0,0,59
250140105000016,8,83,2,0,0,0,81
250140105000017,7,363,76,8,0,61,218
250140105000018,7,111,0,0,0,1,110
250140105000019,7,96,2,1,0,0,93
250140105000020,7,43,3,0,0,0,40
250150005000001,1,1020,287,32,3,698,0
250150005000002,1,739,264,17,14,444,0
250150005000003,1,850,355,35,9,451,0
250150005000004,1,915,285,41,3,586,0
250150005000005,1,764,276,23,3,462,0
250150005000006,1,956,386,38,14,518,0
250150005000007,1,60,26,1,2,31,0
250150005000008,8,660,264,67,25,303,1
250150005000009,8,615,484,35,0,96,0
250150005000010,8,838,269,11,119,439,0
250150005000011,8,1215,405,5,9,796,0
250150005000012,8,45,X,X,X,X,X
250150005000013,8,150,42,0,0,108,0
250150005000014,8,128,58,0,1,69,0
250150005000015,8,447,149,15,2,281,0
250150005000016,8,134,71,0,2,61,0
250150005000017,1,1182,341,15,5,821,0
250150005000018,1,284,114,16,2,151,1
250150005000019,5,471,209,11,9,242,0
250150005000020,4,635,298,3,2,332,0
250150005000021,5,15,X,X,X,X,X
250150010000001,1,803,273,55,7,468,0
250150010000002,8,483,114,35,1,333,0
250150010000003,8,535,133,40,1,361,0
250150010000004,8,616,229,4,4,379,0
250150010000005,8,489,125,69,14,281,0
250150010000006,8,281,63,21,3,194,0
250150010000007,8,427,72,17,20,318,0
250150010000008,8,164,35,2,0,127,0
250150010000009,5,380,171,42,0,167,0
250150010000010,5,824,299,4,2,519,0
250150010000011,8,282,44,1,0,237,0
250150020000001,1,724,408,3,1,312,0
250150020000002,8,281,111,5,0,165,0
250150020000003,8,464,245,0,1,218,0
250150020000004,8,364,102,33,6,223,0
250150020000005,8,98,39,0,0,59,0
250150020000006,8,1058,552,34,1,467,4
250150020000007,8,330,192,43,4,91,0
250150020000008,8,576,252,27,3,294,0
250150020000009,1,371,158,9,4,199,1
250150020000010,5,178,109,10,4,55,0
250153405000001,1,761,280,57,21,403,0
250153405000002,1,630,231,4,2,393,0
250153405000003,8,700,242,97,17,344,0
250153405000004,8,333,102,10,6,215,0
250153405000005,1,1118,430,58,5,625,0
250153405000006,1,678,179,14,0,485,0
250157505000001,1,731,275,17,7,432,0
250157505000002,8,585,331,9,2,243,0
250157505000003,8,616,379,28,0,209,0
250157505000004,8,667,269,0,0,398,0
250157505000005,8,374,139,2,2,231,0
250157505000006,8,426,165,0,0,261,0
250157505000007,8,403,197,9,1,196,0
250157505000008,8,762,379,3,0,380,0
250157505000009,8,394,163,4,0,227,0
250157505000010,8,400,147,2,0,251,0
250157505000011,8,634,213,0,0,421,0
250157505000012,8,512,228,5,0,279,0
